  -2.3482615e+00  -2.8524522e+00
  -2.2061087e+00  -3.4048884e+00
  -3.6532267e+00  -3.1857296e-01
  -2.0311284e+00   1.3771551e+00
  -1.1256233e+00   1.2039332e+00
   6.3873155e-01   1.2542087e+00
  -1.8842116e+00  -2.3819456e+00
   2.7404767e-01  -1.2888815e+00
  -2.5383434e+00  -2.1685614e+00
  -3.8378952e+00  -2.0026716e+00
  -3.0238316e+00  -2.6118581e+00
  -2.7990074e+00  -2.2755202e+00
  -1.1208342e+00  -6.0650338e-01
  -3.8886415e+00  -1.3373045e+00
  -2.1741011e+00  -3.9302618e+00
  -3.5596158e+00  -1.6129454e+00
  -5.8935788e+00   1.7429752e+00
  -1.6435943e+00  -2.0760193e+00
  -3.2136048e+00  -1.3317680e+00
  -3.9435363e-01  -4.9416124e+00
  -2.4213050e+00  -3.1348979e+00
  -3.6752985e-01  -2.6460031e+00
  -5.2062570e-01  -1.7258449e+00
   1.0078543e+00  -7.4202106e-01
  -2.9274039e+00  -4.2509604e+00
  -3.6155525e+00  -2.4553430e+00
  -6.5785640e-01  -2.9953201e+00
  -2.5722025e+00  -3.0525801e+00
  -2.5435235e+00  -1.4749206e+00
  -1.3183204e+00   3.2614765e-02
  -1.3724083e+00  -1.3495844e+00
  -1.4610430e+00  -1.0655751e+00
  -4.4104393e-01  -4.0990374e-01
  -7.8880123e-01  -6.1490257e-01
  -3.6666632e+00  -3.8617146e+00
  -1.4315291e+00  -2.0328259e+00
  -2.8262227e+00  -1.8097222e+00
  -3.3852026e+00   1.4056033e+00
  -1.8372152e+00  -7.2479717e-01
  -1.9031675e+00  -1.8922579e+00
  -2.7493923e+00  -1.4884186e+00
  -1.2347524e+00  -4.9113978e+00
  -1.0359024e+00  -5.2979920e+00
  -1.2383548e+00  -2.5245386e+00
  -2.7212990e+00  -1.8176849e-01
  -3.8697469e+00  -1.2122184e+00
  -2.8636022e+00  -2.2548822e+00
  -2.7994678e+00  -2.0504530e+00
  -1.8781302e+00   7.3566953e-01
  -1.0220694e+00  -1.5363953e-01
   1.0175794e+00  -2.5031590e+00
